id,trace_id,evaluator_name,score,reasoning,skipped,created_at
1,407b5d93-0797-47a5-800b-8b13440a699f,heuristic_faithfulness_overlap,0.723,Fraction of the answer's content words also present in retrieved context.,False,2026-07-12 12:04:38.681701
2,407b5d93-0797-47a5-800b-8b13440a699f,heuristic_relevance_keyword,0.75,Fraction of the query's content words addressed in the answer.,False,2026-07-12 12:04:38.681701
3,407b5d93-0797-47a5-800b-8b13440a699f,llm_judge_faithfulness,,"[JUDGE ERROR] 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}",True,2026-07-12 12:04:38.681701
4,407b5d93-0797-47a5-800b-8b13440a699f,llm_judge_relevance,,"[JUDGE ERROR] 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key not valid. Please pass a valid API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key not valid. Please pass a valid API key.'}]}}",True,2026-07-12 12:04:38.681701
5,9cae1e84-5b5a-4740-b0d9-e10a6607c72d,heuristic_faithfulness_overlap,0.2,Fraction of the answer's content words also present in retrieved context.,False,2026-07-13 05:07:19.280961
6,9cae1e84-5b5a-4740-b0d9-e10a6607c72d,heuristic_relevance_keyword,0.0,Fraction of the query's content words addressed in the answer.,False,2026-07-13 05:07:19.280961
7,9cae1e84-5b5a-4740-b0d9-e10a6607c72d,llm_judge_faithfulness,0.0,"The answer introduces topics such as the bias-variance tradeoff and gradient descent variants, which are completely absent from the provided context on data engineering and training-serving skew.",False,2026-07-13 05:07:19.280961
8,9cae1e84-5b5a-4740-b0d9-e10a6607c72d,llm_judge_relevance,1.0,The response perfectly addresses the user's greeting by saying hello back and introducing its capabilities as an assistant.,False,2026-07-13 05:07:19.280961
9,2f793d50-08f7-4852-bb11-cf2c4534c565,heuristic_faithfulness_overlap,0.226,Fraction of the answer's content words also present in retrieved context.,False,2026-07-14 06:38:01.875412
10,2f793d50-08f7-4852-bb11-cf2c4534c565,heuristic_relevance_keyword,0.0,Fraction of the query's content words addressed in the answer.,False,2026-07-14 06:38:01.875412
11,2f793d50-08f7-4852-bb11-cf2c4534c565,llm_judge_faithfulness,0.0,"The AI's response introduces itself as an interview-prep assistant and lists topics like bias-variance tradeoff and transformer attention, which are completely absent from and unsupported by the provided context.",False,2026-07-14 06:38:01.875412
12,2f793d50-08f7-4852-bb11-cf2c4534c565,llm_judge_relevance,1.0,The response perfectly addresses the user's greeting by greeting them back and introducing its capabilities to initiate the conversation.,False,2026-07-14 06:38:01.875412
13,d798ef20-d7a4-4a60-9759-ee0470843a11,heuristic_faithfulness_overlap,0.942,Fraction of the answer's content words also present in retrieved context.,False,2026-07-14 06:43:29.979599
14,d798ef20-d7a4-4a60-9759-ee0470843a11,heuristic_relevance_keyword,0.25,Fraction of the query's content words addressed in the answer.,False,2026-07-14 06:43:29.979599
15,d798ef20-d7a4-4a60-9759-ee0470843a11,llm_judge_faithfulness,1.0,The entire answer is fully supported by and directly extracted from the provided context without any extrapolation.,False,2026-07-14 06:43:29.979599
16,d798ef20-d7a4-4a60-9759-ee0470843a11,llm_judge_relevance,1.0,"The answer clearly and accurately details the differences between L1 and L2 regularization, covering their mathematical formulations, effects on feature selection, and practical use cases.",False,2026-07-14 06:43:29.979599
